"Date","Event_Description","Document_Type","Significance","Entity","Source_Document","File_Link","Display_Date","Notes","Status"
"2015-10-07","Second GEC Site Visit","Site Inspections","🟡 critical","GEC","2015_10_07_MISSING_Second_GEC_Site_Visit.txt","[2015_10_07_MISSING_Second_GEC_Site_Visit.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_10_07_MISSING_Second_GEC_Site_Visit.txt)","October 7 2015","Second peer review site inspection","Missing"
"2015-10-21","WCC Hearing - GEC Peer Review Presentation","WCC Meetings","🟡 critical","WCC/GEC","2015_10_21_MISSING_WCC_Hearing_GEC_Peer_Review_Presentation.txt","[2015_10_21_MISSING_WCC_Hearing_GEC_Peer_Review_Presentation.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_10_21_MISSING_WCC_Hearing_GEC_Peer_Review_Presentation.txt)","October 21 2015","GEC presents peer review findings at hearing","Missing"
"2015-10-28","Conservation Commission Minutes","WCC Meetings","🔵 formality","WCC","2015_10_28 Conservation Commission minutes 20151028.pdf","[2015_10_28 Conservation Commission minutes 20151028.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_10_28%20Conservation%20Commission%20minutes%2020151028.pdf)","October 28 2015","Regular meeting minutes","Located"
"2015-11-09","WCC Issues ORAD","WCC Meetings","🟡 critical","WCC","2015_11_09_MISSING_WCC_ORAD_Issuance.txt","[2015_11_09_MISSING_WCC_ORAD_Issuance.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_11_09_MISSING_WCC_ORAD_Issuance.txt)","November 9 2015","ORAD finds BVW delineation inaccurate and Mill Brook perennial","Missing"
"2015-11-20","Delapa ORAD Appeal","Legal Documents","🟡 critical","Delapa","2015_11_20_MISSING_Delapa_ORAD_Appeal.txt","[2015_11_20_MISSING_Delapa_ORAD_Appeal.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_11_20_MISSING_Delapa_ORAD_Appeal.txt)","November 20 2015","Appeal claiming intermittent stream","Missing"
"2015-12-09","Conservation Commission Minutes","WCC Meetings","🔵 formality","WCC","2015_12_09 Consevation Commission minutes.pdf","[2015_12_09 Consevation Commission minutes.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_12_09%20Consevation%20Commission%20minutes.pdf)","December 9 2015","Regular meeting minutes","Located"
"2015-12-16","MassDEP Site Visit","Site Inspections","🟡 critical","DEP","2015_12_16_MISSING_MassDEP_Site_Visit.txt","[2015_12_16_MISSING_MassDEP_Site_Visit.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_12_16_MISSING_MassDEP_Site_Visit.txt)","December 16 2015","DEP conducts site inspection","Missing"
"2016-01-13","Conservation Commission Minutes","WCC Meetings","🔵 formality","WCC","2016_01_13 Conservation Commssion minutes .pdf","[2016_01_13 Conservation Commssion minutes .pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_13%20Conservation%20Commssion%20minutes%20.pdf)","January 13 2016","Regular meeting minutes","Located"
"2016-01-20","Plan of Land 44 Mill Street - Hoyt Surveying","Site Plans","🟡 critical","Hoyt Land Surveying","2016_01_20_MISSING_Plan_of_Land_44_Mill_St_Hoyt_Surveying.txt","[2016_01_20_MISSING_Plan_of_Land_44_Mill_St_Hoyt_Surveying.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_20_MISSING_Plan_of_Land_44_Mill_St_Hoyt_Surveying.txt)","January 20 2016","Survey plan by Hoyt Land Surveying Weymouth","Missing"
"2016-01-27","GEC Evaluation","Peer Reviews","🟡 critical","GEC","2016_01_27 GEC Evaluation.pdf","[2016_01_27 GEC Evaluation.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_27%20GEC%20Evaluation.pdf)","January 27 2016","Technical evaluation of site","Located"
"2016-02-02","ANR Plan Filed for 44 Mill St","Legal Documents","🟡 critical","Applicant","2016_02_02_MISSING_ANR_Plan_44_Mill_St_Filed.txt","[2016_02_02_MISSING_ANR_Plan_44_Mill_St_Filed.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_02_MISSING_ANR_Plan_44_Mill_St_Filed.txt)","February 2 2016","ANR Plan Map 28 Lot 14 filed with Town Clerk","Missing"
"2016-02-09","Planning Board Meeting Minutes - ANR Review","Legal Documents","🟡 critical","Planning Board","2016_02_09_MISSING_Planning_Board_Meeting_Minutes_ANR_Review.txt","[2016_02_09_MISSING_Planning_Board_Meeting_Minutes_ANR_Review.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_09_MISSING_Planning_Board_Meeting_Minutes_ANR_Review.txt)","February 9 2016","Initial ANR review by Planning Board","Missing"
"2016-02-11","Planning Board Letter RE ANR","Legal Documents","🔵 formality","Planning Board","2016_02_11 Planning Board letter RE ANR.pdf","[2016_02_11 Planning Board letter RE ANR.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_11%20Planning%20Board%20letter%20RE%20ANR.pdf)","February 11 2016","ANR (Approval Not Required) correspondence","Located"
"2016-02-11","Further ANR Materials Submitted","Legal Documents","🔵 formality","Applicant","2016_02_11_MISSING_Further_ANR_Materials_Submitted.txt","[2016_02_11_MISSING_Further_ANR_Materials_Submitted.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_11_MISSING_Further_ANR_Materials_Submitted.txt)","February 11 2016","Additional materials submitted after ANR declared incomplete","Missing"
"2016-02-23","Planning Board Meeting Minutes - ANR Denial","Legal Documents","🟡 critical","Planning Board","2016_02_23_MISSING_Planning_Board_Meeting_Minutes_ANR_Denial.txt","[2016_02_23_MISSING_Planning_Board_Meeting_Minutes_ANR_Denial.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_23_MISSING_Planning_Board_Meeting_Minutes_ANR_Denial.txt)","February 23 2016","PB determines intended land constituted subdivision","Missing"
"2016-02-24","Nora Loughnane Planning Board Letter","Legal Documents","🔵 formality","Nora Loughnane","2016_02_24 Nora Loughnane Planning Board Letter.pdf","[2016_02_24 Nora Loughnane Planning Board Letter.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_24%20Nora%20Loughnane%20Planning%20Board%20Letter.pdf)","February 24 2016","Planning Board correspondence","Located"
"2016-03-19","DeMelle-Catrone Dam Ownership Discussion","Emails","🟣 b/g communication","DeMelle/Catrone","2016_03_19-21 DeMelle - Catrone - Dam Ownership","[2016_03_19-21 DeMelle - Catrone - Dam Ownership](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_03_19-21%20DeMelle%20-%20Catrone%20-%20Dam%20Ownership)","March 19-21 2016","Dam ownership correspondence","Located"
"2016-04-29","Buckley to Abutters","Legal Documents","🔵 formality","Buckley","2016_04_29 Buckley to Abutters","[2016_04_29 Buckley to Abutters](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_04_29%20Buckley%20to%20Abutters)","April 29 2016","Notice to abutters","Located"
"2016-06-13","Revised Plan","Site Plans","🔵 formality","Applicant","2016_06_13_MISSING_Revised_Plan.txt","[2016_06_13_MISSING_Revised_Plan.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_06_13_MISSING_Revised_Plan.txt)","June 13 2016","Revised site plan submission","Missing"
"2016-08-25","Superseding Order of Conditions (Highlighted)","DEP Correspondence","🟡 critical","DEP","2016_08_25 SOC_highlighted.pdf","[2016_08_25 SOC_highlighted.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_08_25%20SOC_highlighted.pdf)","August 25 2016","SOC with highlights - key document","Located"
"2016-08-25","Superseding Order of Conditions","DEP Correspondence","🟡 critical","DEP","2016_08_25_SOC.pdf","[2016_08_25_SOC.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_08_25_SOC.pdf)","August 25 2016","Official SOC document","Located"
"2016-08-25","WPA Form 4B Scanned","DEP Correspondence","🔵 formality","DEP","2016_08_25_WPA_Form_4B_Scanned.pdf","[2016_08_25_WPA_Form_4B_Scanned.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_08_25_WPA_Form_4B_Scanned.pdf)","August 25 2016","Wetlands Protection Act form","Located"
"2016-08-30","Buckley to Abutters","Legal Documents","🔵 formality","Buckley","2016_08_30 Buckley to Abutters","[2016_08_30 Buckley to Abutters](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_08_30%20Buckley%20to%20Abutters)","August 30 2016","Follow-up notice to abutters","Located"
"2016-09-15","DEP Appeal Document","DEP Correspondence","🟡 critical","Appellant","2016_09_15_MISSING_DEP_Appeal_Document.txt","[2016_09_15_MISSING_DEP_Appeal_Document.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_09_15_MISSING_DEP_Appeal_Document.txt)","September 15 2016","Missing appeal document","Missing"
"2016-09-19","Buckley-Catrone-Palmer Correspondence","Emails","🟣 b/g communication","Buckley/Catrone/Palmer","2016_09_19-20 Buckley - Catrone - Palmer","[2016_09_19-20 Buckley - Catrone - Palmer](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_09_19-20%20Buckley%20-%20Catrone%20-%20Palmer)","September 19-20 2016","Multi-party correspondence","Located"
"2016-10-20","DEP FORAD 338-0594","DEP Correspondence","🟡 critical","DEP","2016_10_20 #338-0594 DEP FORAD.pdf","[2016_10_20 #338-0594 DEP FORAD.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_10_20%20#338-0594%20DEP%20FORAD.pdf)","October 20 2016","Final Order of Resource Area Delineation","Located"
"2016-11-09","Executive Session Minutes","WCC Meetings","🔴 privileged","WCC","2016_11_09_MISSING_Executive_Session_Minutes.txt","[2016_11_09_MISSING_Executive_Session_Minutes.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_11_09_MISSING_Executive_Session_Minutes.txt)","November 9 2016","Missing executive session minutes","Missing"
"2016-11-10","Settlement Agreement Watsky","Settlement Documents","🔴 privileged","Watsky","2016_11_10_MISSING_Settlement_Agreement_Watsky.txt","[2016_11_10_MISSING_Settlement_Agreement_Watsky.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_11_10_MISSING_Settlement_Agreement_Watsky.txt)","November 10 2016","Missing settlement agreement","Missing"
"2016-11-21","Settlement Agreement Worrall","Settlement Documents","🔴 privileged","Worrall","2016_11_21_MISSING_Settlement_Agreement_Worrall.txt","[2016_11_21_MISSING_Settlement_Agreement_Worrall.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_11_21_MISSING_Settlement_Agreement_Worrall.txt)","November 21 2016","Missing settlement agreement","Missing"
"2016-12-19","Delapa WET 2016-022fd OCR","Legal Documents","🟡 critical","Delapa","2016_12_19 delapawet2016-022fd_OCR.pdf","[2016_12_19 delapawet2016-022fd_OCR.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_12_19%20delapawet2016-022fd_OCR.pdf)","December 19 2016","Wetlands filing document","Located"
"2016-12-19","DEP Final Decision FORAD","DEP Determinations","🟡 critical","DEP","2016_12_19_MISSING_DEP_Final_Decision_FORAD.txt","[2016_12_19_MISSING_DEP_Final_Decision_FORAD.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_12_19_MISSING_DEP_Final_Decision_FORAD.txt)","December 19 2016","DEP issues FORAD for project site","Missing"
"2016-12-19","DEP Docket WET-2016-022","DEP Correspondence","🟡 critical","DEP","2016_12_19_MISSING_DEP_Docket_WET-2016_022.txt","[2016_12_19_MISSING_DEP_Docket_WET-2016_022.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_12_19_MISSING_DEP_Docket_WET-2016_022.txt)","December 19 2016","DEP docket number for proceedings","Missing"
"2016-12-19","DEP File SORAD 338-0594","DEP Correspondence","🟡 critical","DEP","2016_12_19_MISSING_DEP_File_SORAD_338-0594.txt","[2016_12_19_MISSING_DEP_File_SORAD_338-0594.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_12_19_MISSING_DEP_File_SORAD_338-0594.txt)","December 19 2016","Superseding ORAD file documentation","Missing"
"2017-01-11","Conservation Commission Minutes","WCC Meetings","🔵 formality","WCC","2017_01_11 Conservation Commission Minutes.pdf","[2017_01_11 Conservation Commission Minutes.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2017_01_11%20Conservation%20Commission%20Minutes.pdf)","January 11 2017","Regular meeting minutes","Located"
"2018-11-02","Site Plan","Site Plans","🔵 formality","Applicant","2018_11_02_Site_Plan.pdf","[2018_11_02_Site_Plan.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2018_11_02_Site_Plan.pdf)","November 2 2018","Development site plan","Located"
"2019-12-17","FORAD Filing","DEP Correspondence","🟡 critical","Applicant","2019_12_17 FORAD filing.pdf","[2019_12_17 FORAD filing.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2019_12_17%20FORAD%20filing.pdf)","December 17 2019","FORAD filing document","Located"
"2019-12-17","DEP FORAD True Copy Attestation Rachel Freed","DEP Correspondence","🔵 formality","Rachel Freed/DEP","2019_12_17_MISSING_DEP_338-0594_FORAD_True_Copy_Rachel_Freed.txt","[2019_12_17_MISSING_DEP_338-0594_FORAD_True_Copy_Rachel_Freed.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2019_12_17_MISSING_DEP_338-0594_FORAD_True_Copy_Rachel_Freed.txt)","December 17 2019","Attestation that FORAD is true copy in DEP file","Missing"
"2019-12-24","Extension Permit for FORAD 338-0594","DEP Correspondence","🔵 formality","DEP","2019_12_24 #338-0594 Extension Permit for FORAD.pdf","[2019_12_24 #338-0594 Extension Permit for FORAD.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2019_12_24%20#338-0594%20Extension%20Permit%20for%20FORAD.pdf)","December 24 2019","FORAD extension permit","Located"
"2020-03-19","Delapa NOI","NOI Applications","🟡 critical","Delapa","2020_03_19 Delapa NOI.pdf","[2020_03_19 Delapa NOI.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_03_19%20Delapa%20NOI.pdf)","March 19 2020","Notice of Intent application","Located"
"2020-04-03","Mass Covid Extension Chapter 53","Legal Documents","🔵 formality","State of MA","2020_04_03 Mass Covid Extension - Chapter 53.pdf","[2020_04_03 Mass Covid Extension - Chapter 53.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_03%20Mass%20Covid%20Extension%20-%20Chapter%2053.pdf)","April 3 2020","COVID-19 deadline extensions","Located"
"2020-04-07","Vinci Quitclaim Deed","Property Records","🟡 critical","Vinci","2020_04_07_Vinci_Quitclaim_Deed.pdf","[2020_04_07_Vinci_Quitclaim_Deed.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_07_Vinci_Quitclaim_Deed.pdf)","April 7 2020","Property transfer to Vinci","Located"
"2020-04-13","Vinci Board of Assessors Notice of Intent","Legal Documents","🔵 formality","Vinci","2020_04_13 Vinci - Board of Assessors - Notice of intent.pdf","[2020_04_13 Vinci - Board of Assessors - Notice of intent.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_13%20Vinci%20-%20Board%20of%20Assessors%20-%20Notice%20of%20intent.pdf)","April 13 2020","Assessment notice","Located"
"2020-04-15","Tim McGuire Abutters List","Legal Documents","🔵 formality","Tim McGuire","2020_04_15 Tim McGuire Abutters List.pdf","[2020_04_15 Tim McGuire Abutters List.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_15%20Tim%20McGuire%20Abutters%20List.pdf)","April 15 2020","List of property abutters","Located"
"2020-05-01","WCC Filing Fee Schedule","Legal Documents","🔵 formality","WCC","2020_05 WCC Filing Fee Schedule.pdf","[2020_05 WCC Filing Fee Schedule.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_05%20WCC%20Filing%20Fee%20Schedule.pdf)","May 2020","Conservation Commission fee schedule","Located"
"2020-05-11","Delapa 335-5 NOI Checks","Legal Documents","🔵 formality","Delapa","2020_05_11 Delapa 335-5 NOI Checks.pdf","[2020_05_11 Delapa 335-5 NOI Checks.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_05_11%20Delapa%20335-5%20NOI%20Checks.pdf)","May 11 2020","Filing fee payments","Located"
"2020-05-11","Delapa NOI Wetland Fee Transmittal Form","Legal Documents","🔵 formality","Delapa","2020_05_11 Delapa NOI Wetland Fee Transmittal Form.pdf","[2020_05_11 Delapa NOI Wetland Fee Transmittal Form.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_05_11%20Delapa%20NOI%20Wetland%20Fee%20Transmittal%20Form.pdf)","May 11 2020","Fee transmittal documentation","Located"
"2020-06-18","Tim McGuire Affidavit of Service to Abutters","Legal Documents","🔵 formality","Tim McGuire","2020_06_18 Tim McGuire Affadavit of Service to Abutters.pdf","[2020_06_18 Tim McGuire Affadavit of Service to Abutters.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_06_18%20Tim%20McGuire%20Affadavit%20of%20Service%20to%20Abutters.pdf)","June 18 2020","Proof of abutter notification","Located"
"2020-06-18","Goddard NOI Original Vinci 338-0594","NOI Applications","🟡 critical","Goddard/Vinci","2020_06_18_Goddard_NOI_Original_Vinci #338-0594.pdf","[2020_06_18_Goddard_NOI_Original_Vinci #338-0594.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_06_18_Goddard_NOI_Original_Vinci%20#338-0594.pdf)","June 18 2020","NOI application for Vinci property","Located"
"2020-07-06","Email from Kerry Snyder","Emails","🟣 b/g communication","Kerry Snyder","2020_07_06 email from Kerry Snyder .pdf","[2020_07_06 email from Kerry Snyder .pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_07_06%20email%20from%20Kerry%20Snyder%20.pdf)","July 6 2020","Email correspondence","Located"
"2020-07-08","Conservation Commission Minutes","WCC Meetings","🔵 formality","WCC","2020_07_08 Minutes  Conservation Commission.pdf","[2020_07_08 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_07_08%20Minutes%20%20Conservation%20Commission.pdf)","July 8 2020","Regular meeting minutes","Located"
"2020-09-09","ConCom Minutes Peer Review Ordered","WCC Meetings","🟡 critical","WCC","2020_09_09_MISSING_ConCom_Minutes_Peer_Review_Ordered.txt","[2020_09_09_MISSING_ConCom_Minutes_Peer_Review_Ordered.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_09_09_MISSING_ConCom_Minutes_Peer_Review_Ordered.txt)","September 9 2020","Missing minutes where peer review ordered","Missing"
"2020-10-08","GEC Donahoe Review Summary","Peer Reviews","🟡 critical","GEC/Donahoe","2020_10_08_GEC_Donahoe_Review_Summary.pdf","[2020_10_08_GEC_Donahoe_Review_Summary.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_08_GEC_Donahoe_Review_Summary.pdf)","October 8 2020","Peer review summary findings","Located"
"2020-10-13","Goddard to Catrone","Emails","🟣 b/g communication","Goddard/Catrone","2020_10_13 Goddard to Catrone.pdf","[2020_10_13 Goddard to Catrone.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_13%20Goddard%20to%20Catrone.pdf)","October 13 2020","Email correspondence","Located"
"2020-10-14","WCC Hearing Continued","WCC Meetings","🔵 formality","WCC","2020_10_14 WCC Hearing Continued.txt","[2020_10_14 WCC Hearing Continued.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_14%20WCC%20Hearing%20Continued.txt)","October 14 2020","Hearing continuation notice","Located"
"2020-10-27","Response to Peer Review Comments","Peer Reviews","🟡 critical","Applicant","2020_10_27_Response_to_Peer_Review_Comments.pdf","[2020_10_27_Response_to_Peer_Review_Comments.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_27_Response_to_Peer_Review_Comments.pdf)","October 27 2020","Applicant response to peer review","Located"
"2020-10-28","Conservation Commission Minutes","WCC Meetings","🔵 formality","WCC","2020_10_28 Minutes  Conservation Commission.pdf","[2020_10_28 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_28%20Minutes%20%20Conservation%20Commission.pdf)","October 28 2020","Regular meeting minutes","Located"
"2020-11-18","Nora Loughnane Email to Catrone","Emails","🟣 b/g communication","Nora Loughnane/Catrone","2020_11_18 Nora Loughnane email to Catrone.pdf","[2020_11_18 Nora Loughnane email to Catrone.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18%20Nora%20Loughnane%20email%20to%20Catrone.pdf)","November 18 2020","Email correspondence","Located"
"2020-11-18","Plot Sale Record Salvatore-Delapa","Property Records","🟡 critical","Salvatore/Delapa","2020_11_18 Plot Sale Record - Salvatore - Delapa.pdf","[2020_11_18 Plot Sale Record - Salvatore - Delapa.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18%20Plot%20Sale%20Record%20-%20Salvatore%20-%20Delapa.pdf)","November 18 2020","Property sale documentation","Located"
"2020-11-18","WCC Hearing Continued","WCC Meetings","🔵 formality","WCC","2020_11_18 WCC Hearing Continued.pdf","[2020_11_18 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18%20WCC%20Hearing%20Continued.pdf)","November 18 2020","Hearing continuation notice","Located"
"2020-12-14","GEC Donahoe Review Comments","Peer Reviews","🟡 critical","GEC/Donahoe","2020_12_14_GEC_Donahoe_Review_Comments.pdf","[2020_12_14_GEC_Donahoe_Review_Comments.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_12_14_GEC_Donahoe_Review_Comments.pdf)","December 14 2020","Detailed peer review comments","Located"
"2021-01-01","Goddard Continuation Requests","Legal Documents","🔵 formality","Goddard","2021 Goddard Continuation Requests.pdf","[2021 Goddard Continuation Requests.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021%20Goddard%20Continuation%20Requests.pdf)","2021","Multiple continuation requests","Located"
"2021-01-04","Enviro Analysis Follow up Email from Brian Donahoe","Emails","🟣 b/g communication","Brian Donahoe","2021_01_04 Enviro Analysis Follow up Email from Brian Donahoe.pdf","[2021_01_04 Enviro Analysis Follow up Email from Brian Donahoe.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_01_04%20Enviro%20Analysis%20Follow%20up%20Email%20from%20Brian%20Donahoe.pdf)","January 4 2021","Environmental analysis follow-up","Located"
"2021-01-27","WCC Hearing Continued","WCC Meetings","🔵 formality","WCC","2021_01_27 WCC Hearing Continued.pdf","[2021_01_27 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_01_27%20WCC%20Hearing%20Continued.pdf)","January 27 2021","Hearing continuation notice","Located"
